"testId","tech","paramIdx","param","mddl","mda","mae_md","rmse_md","mae","rmse","dist"
54,"ssa",116," 9, 9,toeplitz-ssa,2,1",5.92348598996574,16.0254940435682,0.294762180233153,16.0254940435682,0.294643558699206,0.35840062613981,0.804285775308631
54,"ssa",117,"10, 9,toeplitz-ssa,2,1",6.74967700296642,16.6157324145707,0.305399362172896,16.6157324145707,0.305343844758192,0.371662113721786,0.970860400198615
54,"ssa",118,"25, 9,toeplitz-ssa,2,1",8.26539215971336,17.2143412722822,0.305676048957579,17.2143412722822,0.305577883910046,0.384990260625465,1.23724498742875
54,"ssa",119,"50, 9,toeplitz-ssa,2,1",4.45015098617338,15.3284040491048,0.274784583909442,15.3284040491048,0.274809575729161,0.34299952369734,0.555542519875422
54,"ssa",120," 6,10,toeplitz-ssa,2,1",4.57819351452199,17.1009235765935,0.324606871872189,17.1009235765935,0.32432154638766,0.382391019640598,0.788273027864183
54,"ssa",121," 7,10,toeplitz-ssa,2,1",7.3020081461874,19.1051942193946,0.385925955431929,19.1051942193946,0.385745535466842,0.427256249228625,1.29763900252215
54,"ssa",122," 8,10,toeplitz-ssa,2,1",3.80831261414309,16.0156374243349,0.290509277325072,16.0156374243349,0.290368974073469,0.358164626031607,0.591116540587451
54,"ssa",123," 9,10,toeplitz-ssa,2,1",5.92348598996574,16.0254940435682,0.294762180233153,16.0254940435682,0.294643558699206,0.35840062613981,0.804285775308631
54,"ssa",124,"10,10,toeplitz-ssa,2,1",6.74967700296642,16.6157324145707,0.305399362172896,16.6157324145707,0.305343844758192,0.371662113721786,0.970860400198615
54,"ssa",125,"25,10,toeplitz-ssa,2,1",8.26539215971336,17.2143412722822,0.305676048957579,17.2143412722822,0.305577883910046,0.384990260625465,1.23724498742875
54,"ssa",126,"50,10,toeplitz-ssa,2,1",4.45015098617338,15.3284040491048,0.274784583909442,15.3284040491048,0.274809575729161,0.34299952369734,0.555542519875422
54,"ssa",127," 6,25,toeplitz-ssa,2,1",4.57819351452199,17.1009235765935,0.324606871872189,17.1009235765935,0.32432154638766,0.382391019640598,0.788273027864183
54,"ssa",128," 7,25,toeplitz-ssa,2,1",7.3020081461874,19.1051942193946,0.385925955431929,19.1051942193946,0.385745535466842,0.427256249228625,1.29763900252215
54,"ssa",129," 8,25,toeplitz-ssa,2,1",3.80831261414309,16.0156374243349,0.290509277325072,16.0156374243349,0.290368974073469,0.358164626031607,0.591116540587451
54,"ssa",130," 9,25,toeplitz-ssa,2,1",5.92348598996574,16.0254940435682,0.294762180233153,16.0254940435682,0.294643558699206,0.35840062613981,0.804285775308631
54,"ssa",131,"10,25,toeplitz-ssa,2,1",6.74967700296642,16.6157324145707,0.305399362172896,16.6157324145707,0.305343844758192,0.371662113721786,0.970860400198615
54,"ssa",132,"25,25,toeplitz-ssa,2,1",8.26539215971336,17.2143412722822,0.305676048957579,17.2143412722822,0.305577883910046,0.384990260625465,1.23724498742875
